Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KY	FLJ33207	ENSG00000174611	"Kyphoscoliosis peptidase"	Q8NBH2	3	134599923-134651636	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Protease"	"Myofibrillar myopathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 15.7;skin 1: 9.3;tongue: 26.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 14.2;Cardiomyocytes: 6.0;Excitatory neurons: 9.6;Horizontal cells: 7.6;Inhibitory neurons: 11.1;Late spermatids: 6.3;Muller glia cells: 6.4;Oligodendrocyte precursor cells: 23.1;Skeletal myocytes: 10.7"	"Cell type enhanced"	"Detected in many"		"committed oligodendrocyte precursor: 104.2"	"Cancer enhanced"	"Detected in single"		"Thyroid Carcinoma (TCGA): 1.5"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"basophil: 5.7;neutrophil: 2.2"	"Lineage enriched"	"Detected in single"	58	"granulocytes: 5.7"	"Not detected"	"Not detected"			"Breast - Breast myoepithelial cells, Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"cerebellum: 12.4"	"HPA036492, HPA036668"	Uncertain		Approved	Nucleoplasm			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 76: Oligodendrocyte precursor - Unknown function"		Nucleoplasm		"HPA036492: AB_10672222, HPA036668: AB_2675239"			"unprognostic (2.59e-1)"					"unprognostic (1.98e-1)"																						"unprognostic (1.80e-1)"	
LRRC25	"FLJ38116, MAPA"	ENSG00000175489	"Leucine rich repeat containing 25"	Q8N386	19	18391137-18397622	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 32.5;lymphoid tissue: 59.7"	"Group enriched"	"Detected in some"	7	"Hofbauer cells: 68.1;Kupffer cells: 100.6;Macrophages: 81.5;monocytes: 208.6"	"Group enriched"	"Detected in some"	39	"central nervous system macrophage: 14.0;leukocyte: 15.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"classical monocyte: 320.9;eosinophil: 357.0;intermediate monocyte: 512.1;myeloid DC: 229.7;neutrophil: 574.9;non-classical monocyte: 710.4"	"Group enriched"	"Detected in all"	60	"dendritic cells: 229.7;granulocytes: 574.9;monocytes: 710.4"	"Cancer enhanced"	"Detected in some"		"Leukemia: 2.3;lymphoma: 2.0"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Minor Salivary Gland - Macrophages, Pancreas - Macrophages, Pituitary gland - Macrophages, Prostate - Macrophages, Skin - Macrophages, Spleen - Macrophages, Stomach - Macrophages, Thyroid gland - Macrophages"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA029459	Approved		Approved	"Endoplasmic reticulum,Microtubules,Cytosol"			NA	NA		5500000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 6: Non-specific - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 29: Monocytes - Innate immune response"	90	"Endoplasmic reticulum, Microtubules, Cytosol"		"HPA029459: AB_10610005"	"unprognostic (5.24e-1)"	"unprognostic (7.11e-2)"	"unprognostic (8.32e-2)"	"unprognostic (2.51e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.00e-1)"	"unprognostic (3.89e-2)"	"unprognostic (2.41e-1)"	"unprognostic (1.23e-1)"	"unprognostic (5.76e-3)"	"unprognostic (2.59e-2)"	"unprognostic (1.36e-1)"	"unprognostic (4.14e-2)"	"unprognostic (1.53e-2)"	"unprognostic (6.51e-2)"	"unprognostic (1.91e-2)"	"unprognostic (2.68e-2)"	"unprognostic (5.58e-2)"	"unprognostic (1.70e-1)"	"unprognostic (5.44e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.24e-1)"	"unprognostic (3.63e-2)"	"potential prognostic favorable (4.27e-4)"	"unprognostic (2.06e-2)"	"unprognostic (1.09e-1)"	"unprognostic (3.34e-3)"	"unprognostic (1.33e-1)"	"unprognostic (1.93e-1)"
LTF	HLF2	ENSG00000012223	Lactotransferrin	P02788	3	46435645-46485234	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Immunity, Ion transport, Iron transport, Osteogenesis, Transcription, Transcription regulation, Transport"	"Antibiotic, Antimicrobial, DNA-binding, Heparin-binding, Hydrolase, Protease, Serine protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 4212.2;salivary gland: 1128.6"	"Group enriched"	"Detected in many"	5	"Breast glandular cells: 1470.5;Club cells: 393.9;Mucus glandular cells: 1389.1;Serous glandular cells: 1532.1"	"Group enriched"	"Detected in some"	9	"astrocyte: 5.9;endothelial cell: 6.4"	"Cancer enhanced"	"Detected in all"		"Breast Invasive Carcinoma (TCGA): 588.3"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	23	"neutrophil: 5.4;non-classical monocyte: 17.0"	"Group enriched"	"Detected in many"	23	"granulocytes: 5.4;monocytes: 17.0"	"Cancer enhanced"	"Detected in some"		"Myeloma: 2.9"	"Lung - Neutrophil_1, Minor Salivary Gland - Minor salivary glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB008646, CAB016201, HPA057177, HPA059976"	Enhanced				"Secreted to blood"	Transport	NA	NA		560000000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 46: Brainstem - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 17: Breast glandular cells - Lactation"	19			"CAB008646: AB_1618695, CAB016201: AB_629860, HPA057177: AB_2683361, HPA059976: AB_2684185"	"unprognostic (9.72e-3)"	"unprognostic (1.75e-3)"	"unprognostic (1.81e-1)"	"unprognostic (6.80e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.57e-1)"	"unprognostic (4.09e-3)"	"unprognostic (5.31e-3)"	"unprognostic (2.63e-2)"	"unprognostic (3.63e-1)"	"potential prognostic favorable (2.41e-4)"	"unprognostic (2.05e-2)"	"unprognostic (4.41e-2)"	"unprognostic (1.04e-2)"	"potential prognostic favorable (6.96e-4)"	"unprognostic (2.10e-1)"	"unprognostic (8.79e-2)"	"unprognostic (2.90e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.38e-1)"	"unprognostic (2.44e-2)"	"unprognostic (3.72e-1)"	"unprognostic (5.09e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.24e-1)"	"unprognostic (4.97e-2)"	"unprognostic (3.18e-1)"	"unprognostic (1.08e-2)"	"unprognostic (3.12e-1)"	"unprognostic (2.62e-1)"	"unprognostic (3.14e-1)"
MICAL2	"FLJ14966, KIAA0750, MICALCL"	ENSG00000133816	"Microtubule associated monooxygenase, calponin and LIM domain containing 2"	O94851	11	12094008-12359144	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Actin-binding, Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"brain: 199.5"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 150.0;Excitatory neurons: 187.1;Inhibitory neurons: 104.5;Late spermatids: 229.3;Peritubular cells: 110.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 11.9"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Adrenal gland - Fibroblasts, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030437, HPA039895, HPA040438"	Approved		Uncertain	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 16: Non-specific - Transcription"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 32: Smooth muscle cells - Muscle contraction"	16	Cytosol	"Nucleoplasm, Plasma membrane"	"HPA030437: AB_10601873, HPA039895: AB_2676731, HPA040438: AB_10672896"	"unprognostic (1.16e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.70e-1)"	"unprognostic (1.76e-2)"	"unprognostic (1.37e-1)"	"unprognostic (2.49e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.34e-3)"	"unprognostic (4.59e-3)"	"unprognostic (5.63e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.51e-1)"	"unprognostic (6.35e-3)"	"unprognostic (5.51e-2)"	"unprognostic (1.81e-2)"	"unprognostic (3.81e-3)"	"unprognostic (6.91e-2)"	"unprognostic (8.99e-2)"	"potential prognostic unfavorable (3.55e-5)"	"unprognostic (6.60e-3)"	"unprognostic (1.37e-1)"	"unprognostic (2.58e-1)"	"unprognostic (4.89e-3)"	"unprognostic (1.20e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.92e-1)"	"unprognostic (3.55e-1)"	"unprognostic (2.51e-1)"	"unprognostic (7.05e-2)"
MMP25	"MMP20, MMPL1, MT6-MMP"	ENSG00000008516	"Matrix metallopeptidase 25"	Q9NPA2	16	3046062-3060726	"Enzymes, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 32.8;lymphoid tissue: 79.9"	"Cell type enhanced"	"Detected in some"		"Kupffer cells: 3.8;Langerhans cells: 3.5;Macrophages: 4.1;Schwann cells: 4.3;Serous glandular cells: 4.3;T-cells: 4.2"	"Cell type enhanced"	"Detected in many"		"leukocyte: 15.3"	"Cancer enriched"	"Detected in many"	4	"Testicular Germ Cell Tumor (TCGA): 11.9"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	5	"basophil: 18.3;neutrophil: 20.3"	"Lineage enriched"	"Detected in single"	39	"granulocytes: 20.3"	"Cancer enhanced"	"Detected in some"		"Leukemia: 2.6"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils, Spleen - Neutrophils, Stomach - Neutrophils, Thyroid gland - Neutrophils"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB025177, HPA055640"	Uncertain		Supported	"Plasma membrane"	"Secreted to blood"	Enzyme	NA	NA		3200000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"		"Plasma membrane"		"CAB025177: , HPA055640: "	"unprognostic (1.81e-1)"	"unprognostic (2.81e-2)"	"unprognostic (3.82e-2)"	"unprognostic (8.63e-2)"	"unprognostic (1.00e-1)"	"unprognostic (1.21e-1)"	"unprognostic (3.16e-1)"	"unprognostic (6.46e-2)"	"potential prognostic favorable (9.34e-5)"		"unprognostic (6.11e-3)"	"unprognostic (3.71e-1)"			"unprognostic (3.49e-2)"	"unprognostic (1.78e-1)"	"unprognostic (1.06e-1)"	"unprognostic (3.56e-2)"	"unprognostic (3.42e-1)"				"unprognostic (6.93e-2)"		"unprognostic (2.42e-2)"	"unprognostic (3.12e-1)"	"unprognostic (6.18e-2)"	"unprognostic (1.16e-1)"	"unprognostic (5.07e-2)"		
MNDA	PYHIN3	ENSG00000163563	"Myeloid cell nuclear differentiation antigen"	P41218	1	158831351-158849506	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"bone marrow: 289.8;lymphoid tissue: 105.0"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 421.4;Kupffer cells: 383.6;Langerhans cells: 318.0;Macrophages: 350.4;monocytes: 99.5;Muller glia cells: 118.1"	"Cell type enhanced"	"Detected in some"		"central nervous system macrophage: 159.8;pericyte: 70.3;vascular associated smooth muscle cell: 96.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	4	"neutrophil: 6034.1"	"Lineage enriched"	"Detected in all"	4	"granulocytes: 6034.1"	"Group enriched"	"Detected in some"	20	"Leukemia: 41.4;lymphoma: 11.9"	"Adrenal gland - Macrophages, Lung - Neutrophil_2, Prostate - Macrophages, Spleen - Neutrophils"					"Low region specificity"	"Detected in all"			"HPA034532, HPA073215"	Enhanced		Supported	"Nucleoplasm,Nucleoli,Nucleoli rim,Vesicles,Cytosol"			NA	NA		440000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	22	Nucleoplasm	"Nucleoli, Nucleoli rim, Vesicles, Cytosol"	"HPA034532: AB_10669677, HPA073215: AB_2686582"	"unprognostic (7.16e-2)"	"unprognostic (5.02e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.27e-1)"	"unprognostic (1.46e-1)"	"unprognostic (3.75e-2)"	"unprognostic (7.40e-2)"	"unprognostic (1.65e-2)"	"unprognostic (4.97e-1)"	"unprognostic (2.87e-3)"	"unprognostic (2.39e-1)"	"unprognostic (1.67e-1)"	"unprognostic (1.38e-2)"	"unprognostic (2.86e-1)"	"unprognostic (2.48e-3)"	"unprognostic (4.40e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.17e-1)"	"unprognostic (5.08e-1)"	"unprognostic (2.13e-1)"	"unprognostic (2.07e-1)"	"unprognostic (1.28e-1)"	"unprognostic (9.13e-2)"	"unprognostic (7.74e-2)"	"unprognostic (1.06e-1)"	"unprognostic (4.94e-2)"	"unprognostic (9.93e-2)"	"unprognostic (4.22e-2)"	"unprognostic (2.72e-2)"	"unprognostic (2.11e-1)"
NLRP12	"CLR19.3, Monarch1, NALP12, PAN6, PYPAF7, RNO2"	ENSG00000142405	"NLR family pyrin domain containing 12"	P59046	19	53793741-53824403	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 6.0;lymphoid tissue: 4.2"	"Cell type enhanced"	"Detected in some"		"Hofbauer cells: 6.6;Kupffer cells: 8.5;Macrophages: 6.2;monocytes: 5.2;Oocytes: 7.4"	"Cell type enhanced"	"Detected in some"		"leukocyte: 7.8"	"Cancer enriched"	"Detected in single"	6	"Testicular Germ Cell Tumor (TCGA): 4.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"basophil: 57.0;classical monocyte: 18.2;eosinophil: 23.2;neutrophil: 29.9"	"Group enriched"	"Detected in many"	5	"granulocytes: 57.0;monocytes: 18.2"	"Cancer enhanced"	"Detected in single"		"Leukemia: 1.8"	"Adipose visceral - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Spleen - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA042981	Approved						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"		"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	3			"HPA042981: AB_10795712"			"unprognostic (3.23e-1)"																				"unprognostic (6.80e-2)"						"unprognostic (2.23e-1)"		
NR6A1	"CT150, GCNF, GCNF1, RTR"	ENSG00000148200	"Nuclear receptor subfamily 6 group A member 1"	Q15406	9	124517275-124771311	"Nuclear receptors, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Receptor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"testis: 22.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 101.9;Extravillous trophoblasts: 171.8;Inhibitory neurons: 109.8;Oligodendrocyte precursor cells: 105.7;Spermatocytes: 75.7;Spermatogonia: 111.6"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	17	"Testicular Germ Cell Tumor (TCGA): 44.3"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"eosinophil: 1.2;neutrophil: 4.8"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 4.8"	"Cancer enhanced"	"Detected in all"		"testis cancer: 20.0"	"Pituitary gland - Corticotropes, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA031461, HPA045145"			Approved	Nucleoplasm,Centrosome,Cytosol			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 46: Testis - Spermatogenesis"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"		Nucleoplasm	"Centrosome, Cytosol"	"HPA031461: AB_2673894, HPA045145: AB_2679233"	"unprognostic (2.64e-1)"	"unprognostic (1.05e-1)"	"unprognostic (2.99e-1)"	"unprognostic (1.18e-1)"	"unprognostic (2.33e-1)"	"unprognostic (1.69e-2)"		"unprognostic (3.48e-2)"	"unprognostic (3.80e-2)"				"unprognostic (1.20e-1)"	"validated prognostic unfavorable (6.21e-5)"	"validated prognostic unfavorable (3.72e-5)"	"unprognostic (2.35e-2)"	"unprognostic (3.82e-2)"	"unprognostic (4.14e-2)"	"unprognostic (1.30e-2)"	"unprognostic (4.34e-2)"		"unprognostic (3.15e-2)"	"unprognostic (1.57e-2)"		"unprognostic (2.74e-1)"	"unprognostic (3.80e-1)"	"unprognostic (1.45e-1)"	"unprognostic (5.71e-2)"	"unprognostic (2.25e-1)"	"unprognostic (2.12e-2)"	"unprognostic (1.35e-3)"
NTNG2	"KIAA1857, Lmnt2, NTNG1"	ENSG00000196358	"Netrin G2"	Q96CW9	9	132162058-132244526	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein"	"Autism spectrum disorder, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 24.8;brain: 19.1;retina: 20.1"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 33.1;Bipolar cells: 67.4;Cone photoreceptor cells: 152.9;Rod photoreceptor cells: 117.1"	"Cell type enhanced"	"Detected in many"		"bergmann glia: 126.1;deep-layer intratelencephalic: 87.4"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 4.2"	"Region enhanced"	"Detected in all"		"cerebral cortex: 149.3"	"Immune cell enriched"	"Detected in single"	5	"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	11	"granulocytes: 1.1"	"Cancer enhanced"	"Detected in some"		"Leukemia: 4.7"	"Prostate - Prostate glandular cells, Skin - Fibroblast_2, Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024306, HPA071290"	Approved		Uncertain	"Vesicles,Plasma membrane"	"Intracellular and membrane"	"Developmental protein"	NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 51: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 66: Photoreceptor cells - Visual perception"	1	Vesicles	"Plasma membrane"	"HPA024306: , HPA071290: AB_2686381"			"unprognostic (2.56e-1)"			"unprognostic (1.68e-1)"	"unprognostic (2.85e-1)"	"potential prognostic favorable (1.34e-4)"				"unprognostic (1.02e-1)"				"unprognostic (6.62e-2)"						"unprognostic (5.02e-2)"	"unprognostic (9.72e-2)"	"potential prognostic favorable (1.98e-4)"		"potential prognostic favorable (5.53e-4)"					
PANX2	"hPANX2, PX2"	ENSG00000073150	"Pannexin 2"	Q96RD6	22	50170731-50180295	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"brain: 39.7"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 12.9;dendritic cells: 12.9;Excitatory neurons: 12.9;Horizontal cells: 13.2;Inhibitory neurons: 15.1;Muller glia cells: 24.7"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 2.0"	"Lineage enhanced"	"Detected in single"		"granulocytes: 2.0"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004624, HPA039117"	Enhanced		Supported	"Plasma membrane"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 24: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 3: Basal prostatic cells - Lipid metabolism"		"Plasma membrane"		"HPA004624: , HPA039117: AB_10805354"	"unprognostic (1.30e-1)"	"unprognostic (3.66e-2)"	"unprognostic (2.97e-1)"	"unprognostic (4.67e-2)"			"unprognostic (7.46e-3)"	"unprognostic (2.90e-2)"	"unprognostic (1.60e-2)"	"unprognostic (3.71e-1)"		"potential prognostic unfavorable (9.15e-5)"	"potential prognostic unfavorable (7.90e-5)"	"unprognostic (5.42e-2)"	"unprognostic (7.80e-2)"	"unprognostic (1.35e-1)"	"unprognostic (7.87e-3)"	"unprognostic (3.66e-1)"	"unprognostic (7.46e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.66e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.59e-3)"	"unprognostic (8.36e-3)"			"unprognostic (2.80e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.43e-1)"	"potential prognostic unfavorable (2.99e-4)"
