gene_name	gencode_protein_id	gencode_transcript_id	gencode_length	uniprot_id	uniprot_entry_name	uniprot_protein_name	uniprot_length	length_difference	function	subcellular_location	go_bp_count	go_mf_count	keywords_count	domains_count
SLC22A1	ENSP00000318103.4	ENST00000324965.8	506	O15245	S22A1_HUMAN	Solute carrier family 22 member 1	554	48	Not able to uptake 1-methyl-4-phenylpyridinium (MPP(+))	Basolateral cell membrane; Apical cell membrane; Lateral cell membrane; Basal cell membrane; Cell membrane	0	0	12	0
SLC22A1	ENSP00000409557.2	ENST00000457470.6	483	O15245	S22A1_HUMAN	Solute carrier family 22 member 1	554	71	Not able to uptake 1-methyl-4-phenylpyridinium (MPP(+))	Basolateral cell membrane; Apical cell membrane; Lateral cell membrane; Basal cell membrane; Cell membrane	0	0	12	0
SLC22A1	ENSP00000440105.1	ENST00000540443.1	48	O15245	S22A1_HUMAN	Solute carrier family 22 member 1	554	506	Not able to uptake 1-methyl-4-phenylpyridinium (MPP(+))	Basolateral cell membrane; Apical cell membrane; Lateral cell membrane; Basal cell membrane; Cell membrane	0	0	12	0
CYP1A2	ENSP00000342007.4	ENST00000343932.5	516	P05177	CP1A2_HUMAN	Cytochrome P450 1A2	516	0	A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:10681376, PubMed:11555828, PubMed:12865317, PubMed:19965576, PubMed:9435160). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:10681376, PubMed:11555828, PubMe...	Endoplasmic reticulum membrane; Microsome membrane	0	0	18	0
ORM2	ENSP00000394936.2	ENST00000431067.4	201	P19652	A1AG2_HUMAN	Alpha-1-acid glycoprotein 2	201	0	Functions as a transport protein in the blood stream. Binds various hydrophobic ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability. Appears to function in modulating the activity of the immune system during the acute-phase reaction	Secreted	0	0	10	0
ORM1	ENSP00000259396.8	ENST00000259396.9	201	P02763	A1AG1_HUMAN	Alpha-1-acid glycoprotein 1	201	0	Functions as a transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction	Secreted	0	0	11	0
FABP2	ENSP00000274024.3	ENST00000274024.4	132	P12104	FABPI_HUMAN	Fatty acid-binding protein, intestinal	132	0	FABPs are thought to play a role in the intracellular transport of long-chain fatty acids and their acyl-CoA esters. FABP2 is probably involved in triglyceride-rich lipoprotein synthesis. Binds saturated long-chain fatty acids with a high affinity, but binds with a lower affinity to unsaturated long-chain fatty acids. FABP2 may also help maintain energy homeostasis by functioning as a lipid sensor	Cytoplasm	0	0	7	0
SPACA7	ENSP00000416096.1	ENST00000414180.5	104	Q96KW9	SPAC7_HUMAN	Sperm acrosome-associated protein 7	195	91	Involved in fertilization. Seems not to play a direct role in sperm-egg binding or gamete fusion	Secreted; Cytoplasmic vesicle, secretory vesicle, acrosome; Cytoplasmic vesicle, secretory vesicle, acrosome lumen	0	0	7	0
SPACA7	ENSP00000283550.3	ENST00000283550.8	195	Q96KW9	SPAC7_HUMAN	Sperm acrosome-associated protein 7	195	0	Involved in fertilization. Seems not to play a direct role in sperm-egg binding or gamete fusion	Secreted; Cytoplasmic vesicle, secretory vesicle, acrosome; Cytoplasmic vesicle, secretory vesicle, acrosome lumen	0	0	7	0
SPACA7	ENSP00000406733.1	ENST00000443541.5	111	Q96KW9	SPAC7_HUMAN	Sperm acrosome-associated protein 7	195	84	Involved in fertilization. Seems not to play a direct role in sperm-egg binding or gamete fusion	Secreted; Cytoplasmic vesicle, secretory vesicle, acrosome; Cytoplasmic vesicle, secretory vesicle, acrosome lumen	0	0	7	0
SPACA7	ENSP00000364851.3	ENST00000375699.3	164	Q96KW9	SPAC7_HUMAN	Sperm acrosome-associated protein 7	195	31	Involved in fertilization. Seems not to play a direct role in sperm-egg binding or gamete fusion	Secreted; Cytoplasmic vesicle, secretory vesicle, acrosome; Cytoplasmic vesicle, secretory vesicle, acrosome lumen	0	0	7	0
ERVH48-1	ENSP00000504647.1	ENST00000447535.2	160	M5A8F1	SUPYN_HUMAN	Suppressyn	160	0	May play a role in trophoblasts syncytialization, the spontaneous fusion of their plasma membranes, an essential process in placental development. May negatively regulate cell-cell fusion by interacting with SLC1A5, the probable receptor on the cell surface of the fusogenic syncytin-1/ERVW-1	Secreted	0	0	7	0
ELANE	ENSP00000466090.1	ENST00000590230.5	267	P08246	ELNE_HUMAN	Neutrophil elastase	267	0	Serine protease that modifies the functions of natural killer cells, monocytes and granulocytes. Inhibits C5a-dependent neutrophil enzyme release and chemotaxis (PubMed:15140022). Promotes cleavage of GSDMB, thereby inhibiting pyroptosis (PubMed:36899106). Promotes blood coagulation (PubMed:20676107). Through the activation of the platelet fibrinogen receptor integrin alpha-IIb/beta-3, potentiates platelet aggregation induced by a threshold concentration of cathepsin G (CTSG) (PubMed:25211214, P...	Cytoplasmic vesicle, phagosome	0	0	13	1
ELANE	ENSP00000263621.1	ENST00000263621.2	267	P08246	ELNE_HUMAN	Neutrophil elastase	267	0	Serine protease that modifies the functions of natural killer cells, monocytes and granulocytes. Inhibits C5a-dependent neutrophil enzyme release and chemotaxis (PubMed:15140022). Promotes cleavage of GSDMB, thereby inhibiting pyroptosis (PubMed:36899106). Promotes blood coagulation (PubMed:20676107). Through the activation of the platelet fibrinogen receptor integrin alpha-IIb/beta-3, potentiates platelet aggregation induced by a threshold concentration of cathepsin G (CTSG) (PubMed:25211214, P...	Cytoplasmic vesicle, phagosome	0	0	13	1
BPI	ENSP00000262865.4	ENST00000262865.9	487	P17213	BPI_HUMAN	Bactericidal permeability-increasing protein	487	0	The cytotoxic action of BPI is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope. Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, this activity is inhibited by LPS from P.aeruginosa	Secreted; Cytoplasmic granule membrane	0	0	13	0
BPI	ENSP00000494528.2	ENST00000642449.2	483	A0A2R8YDF1	A0A2R8YDF1_HUMAN	Bactericidal permeability-increasing protein	483	0	The cytotoxic action of BPI is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope	Cytoplasmic granule membrane; Secreted	0	0	10	2
BPI	ENSP00000409833.2	ENST00000417318.3	286	H0Y738	H0Y738_HUMAN	Bactericidal permeability-increasing protein	286	0	The cytotoxic action of BPI is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope	Cytoplasmic granule membrane; Secreted	0	0	10	1
RPGRIP1	ENSP00000382895.2	ENST00000400017.7	1286	Q96KN7	RPGR1_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	1286	0	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	14	1
RPGRIP1	ENSP00000450445.1	ENST00000556336.5	943	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	182	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000451219.1	ENST00000557771.5	1248	G3V3F7	G3V3F7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	1248	0	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000372391.4	ENST00000382933.8	612	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	149	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000452215.1	ENST00000557351.1	166	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	595	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000451262.1	ENST00000555587.5	761	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	0	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000450426.1	ENST00000554303.1	143	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	618	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
RPGRIP1	ENSP00000451719.1	ENST00000557606.1	134	G3V3I7	G3V3I7_HUMAN	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	761	627	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells	Cell projection, cilium	0	0	7	1
BTNL3	ENSP00000341787.6	ENST00000342868.7	466	Q6UXE8	BTNL3_HUMAN	Butyrophilin-like protein 3	466	0		Membrane	0	0	8	2
DEFA3	ENSP00000328359.2	ENST00000327857.7	94	P59666	DEF3_HUMAN	Neutrophil defensin 3	94	0	Effector molecule of the innate immune system that acts via antibiotic-like properties against a broad array of infectious agents including bacteria, fungi, and viruses (PubMed:15616305, PubMed:15772169, PubMed:17142766). Possesses the ability to neutralize bacterial toxins such as B.anthracis lethal factor, Clostridium difficile cytotoxin B as well as leukocidin produced by Staphylococcus aureus (PubMed:15772169, PubMed:18435932, PubMed:25963798). Also blocks herpes simplex virus infection by i...	Secreted	0	0	12	0
DEFA4	ENSP00000297435.2	ENST00000297435.3	97	P12838	DEF4_HUMAN	Defensin alpha 4	97	0	Host-defense peptide that has antimicrobial activity against Gram-negative bacteria, and to a lesser extent also against Gram-positive bacteria and fungi (PubMed:15317502, PubMed:15616305, PubMed:2500436, PubMed:2501794, PubMed:30658057). Exhibits antimicrobial activity against Gram-negative E.coli and E.aerogenes and Gram-positive S.faecalis, S.aureus and B.cereus and the yeast C.albicans (in vitro) (PubMed:15317502, PubMed:15616305, PubMed:17088326, PubMed:2500436, PubMed:2501794, PubMed:30658...	Secreted; Cytoplasmic vesicle, secretory vesicle	0	0	12	0
ENSG00000289715	ENSP00000512858.1	ENST00000696766.1	47				0	0			0	0	0	0
FANCD2OS	ENSP00000429663.1	ENST00000524279.1	177	Q96PS1	FACOS_HUMAN	FANCD2 opposite strand protein	177	0			0	0	1	0
FANCD2OS	ENSP00000429589.1	ENST00000453223.2	97	H0YBI7	H0YBI7_HUMAN		97	0			0	0	1	0
FANCD2OS	ENSP00000429608.1	ENST00000450660.3	177	Q96PS1	FACOS_HUMAN	FANCD2 opposite strand protein	177	0			0	0	1	0
HBD	ENSP00000292901.3	ENST00000292901.7	141	P02042	HBD_HUMAN	Hemoglobin subunit delta	147	6	Involved in oxygen transport from the lung to the various peripheral tissues		0	0	11	1
HBD	ENSP00000497529.1	ENST00000650601.1	147	P02042	HBD_HUMAN	Hemoglobin subunit delta	147	0	Involved in oxygen transport from the lung to the various peripheral tissues		0	0	11	1
HBD	ENSP00000494708.1	ENST00000643122.1	147	P02042	HBD_HUMAN	Hemoglobin subunit delta	147	0	Involved in oxygen transport from the lung to the various peripheral tissues		0	0	11	1
HBD	ENSP00000414741.1	ENST00000417377.1	85	P02042	HBD_HUMAN	Hemoglobin subunit delta	147	62	Involved in oxygen transport from the lung to the various peripheral tissues		0	0	11	1
HBD	ENSP00000393810.1	ENST00000429817.1	104	P02042	HBD_HUMAN	Hemoglobin subunit delta	147	43	Involved in oxygen transport from the lung to the various peripheral tissues		0	0	11	1
PRTN3	ENSP00000234347.3	ENST00000234347.10	256	P24158	PRTN3_HUMAN	Myeloblastin	256	0	Serine protease that degrades elastin, fibronectin, laminin, vitronectin, and collagen types I, III, and IV (in vitro) (PubMed:2033050, PubMed:28240246, PubMed:3198760). By cleaving and activating receptor F2RL1/PAR-2, enhances endothelial cell barrier function and thus vascular integrity during neutrophil transendothelial migration (PubMed:23202369). Plays a role in neutrophil transendothelial migration, probably when associated with CD177 (PubMed:22266279). Triggers inflammatory processes in n...	Cytoplasmic granule; Secreted; Cell membrane; Membrane raft	0	0	15	1
PRTN3	ENSP00000475174.1	ENST00000544537.2	215	P24158	PRTN3_HUMAN	Myeloblastin	256	41	Serine protease that degrades elastin, fibronectin, laminin, vitronectin, and collagen types I, III, and IV (in vitro) (PubMed:2033050, PubMed:28240246, PubMed:3198760). By cleaving and activating receptor F2RL1/PAR-2, enhances endothelial cell barrier function and thus vascular integrity during neutrophil transendothelial migration (PubMed:23202369). Plays a role in neutrophil transendothelial migration, probably when associated with CD177 (PubMed:22266279). Triggers inflammatory processes in n...	Cytoplasmic granule; Secreted; Cell membrane; Membrane raft	0	0	15	1
SYCE3	ENSP00000385480.3	ENST00000406915.4	88	A1L190	SYCE3_HUMAN	Synaptonemal complex central element protein 3	88	0	Major component of the transverse central element of synaptonemal complexes (SCS), formed between homologous chromosomes during meiotic prophase (PubMed:36635604). Required for the assembly of the central element of the synaptonemal complex during meiosis, via remodeling of SYCP1 lattice structures and promoting recruitment of SYCE2-TEX12 and SYCE1-SIX60S1 complexes (PubMed:36635604). Required for chromosome loading of the central element-specific SCS proteins, and for initiating synapsis betwee...	Nucleus; Chromosome	0	0	9	0
SYCE3	ENSP00000385122.1	ENST00000402753.1	88	A1L190	SYCE3_HUMAN	Synaptonemal complex central element protein 3	88	0	Major component of the transverse central element of synaptonemal complexes (SCS), formed between homologous chromosomes during meiotic prophase (PubMed:36635604). Required for the assembly of the central element of the synaptonemal complex during meiosis, via remodeling of SYCP1 lattice structures and promoting recruitment of SYCE2-TEX12 and SYCE1-SIX60S1 complexes (PubMed:36635604). Required for chromosome loading of the central element-specific SCS proteins, and for initiating synapsis betwee...	Nucleus; Chromosome	0	0	9	0
AZU1	ENSP00000481172.1	ENST00000592205.5	150	P20160	CAP7_HUMAN	Azurocidin	251	101	This is a neutrophil granule-derived antibacterial and monocyte- and fibroblast-specific chemotactic glycoprotein. Binds heparin. The cytotoxic action is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope. It may play a role in mediating recruitment of monocytes in the second wave of inflammation. Has...	Cytoplasmic granule membrane	0	0	14	1
AZU1	ENSP00000233997.1	ENST00000233997.4	251	P20160	CAP7_HUMAN	Azurocidin	251	0	This is a neutrophil granule-derived antibacterial and monocyte- and fibroblast-specific chemotactic glycoprotein. Binds heparin. The cytotoxic action is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope. It may play a role in mediating recruitment of monocytes in the second wave of inflammation. Has...	Cytoplasmic granule membrane	0	0	14	1
SERPINA1	ENSP00000376802.4	ENST00000393087.9	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000390299.1	ENST00000440909.5	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000348068.4	ENST00000355814.8	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000408474.1	ENST00000437397.5	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000416066.1	ENST00000448921.5	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000490054.1	ENST00000636712.1	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000376803.4	ENST00000393088.8	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000385960.4	ENST00000404814.8	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000416354.3	ENST00000449399.7	418	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	0	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000386094.1	ENST00000402629.1	359	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	59	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000450561.1	ENST00000554720.1	105	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	313	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000452169.1	ENST00000556091.1	156	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	262	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000452452.1	ENST00000557492.5	144	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	274	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000451098.1	ENST00000556955.5	117	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	301	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000452480.1	ENST00000553327.5	92	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	326	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
SERPINA1	ENSP00000451826.1	ENST00000557118.5	22	P01009	A1AT_HUMAN	Alpha-1-antitrypsin	418	396	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	0	0	16	0
CCN3	ENSP00000259526.3	ENST00000259526.4	357	P48745	CCN3_HUMAN	CCN family member 3	357	0	Immediate-early protein playing a role in various cellular processes including proliferation, adhesion, migration, differentiation and survival (PubMed:12050162, PubMed:12695522, PubMed:15181016, PubMed:15611078, PubMed:21344378). Acts by binding to integrins or membrane receptors such as NOTCH1 (PubMed:12695522, PubMed:15611078, PubMed:21344378). Essential regulator of hematopoietic stem and progenitor cell function (PubMed:17463287). Inhibits myogenic differentiation through the activation of ...	Secreted; Cytoplasm; Cell junction, gap junction	0	0	14	4
XKR3	ENSP00000331704.5	ENST00000331428.5	459	Q5GH77	XKR3_HUMAN	XK-related protein 3	459	0		Cell membrane	0	0	6	0
XKR3	ENSP00000507478.1	ENST00000684488.1	459	Q5GH77	XKR3_HUMAN	XK-related protein 3	459	0		Cell membrane	0	0	6	0
TEX54	ENSP00000490507.1	ENST00000636508.2	124	A0A1B0GVG6	TEX54_HUMAN	Testis-expressed protein 54	124	0			0	0	2	0
CEACAM8	ENSP00000244336.5	ENST00000244336.10	349	P31997	CEAM8_HUMAN	Cell adhesion molecule CEACAM8	349	0	Cell surface glycoprotein that plays a role in cell adhesion in a calcium-independent manner (PubMed:11590190, PubMed:2022629, PubMed:8776764). Mediates heterophilic cell adhesion with other carcinoembryonic antigen-related cell adhesion molecules, such as CEACAM6 (PubMed:11590190, PubMed:2022629, PubMed:8776764). Heterophilic interaction with CEACAM8 occurs in activated neutrophils (PubMed:8776764)	Cell membrane; Cell surface	0	0	13	3
